feature,importance
lexical_diversity,0.055485137670435704
text_length,0.030869300389209996
sentiment_score,0.02389260997151023
even,0.015599256271660795
much,0.014834156366620332
uppercase_ratio,0.012713097884422951
littl,0.012575558221317703
bought,0.011751415354217755
recommend,0.011748156933608924
charact well,0.011212141262491147
well develop,0.010121858852225838
small,0.009570916164420877
would recommend,0.009395108597594307
exclamation_count,0.009118906476317024
also,0.008830791113966887
problem,0.008687414685463973
bought friend,0.008413033604756242
plastic part,0.008311478336308936
good,0.007683785797625825
great,0.006910035055920683
charact,0.006902520501536505
love,0.006785205838474798
comfort,0.006602832951434089
though,0.006444396677741029
also love,0.005958136786932158
plastic,0.005897986355135405
bit,0.005760475673393942
anyon,0.005734974786058896
coupl,0.005365987060339265
strong,0.005266094812303744
larg,0.005190383913985313
reason gave,0.005127647309776725
happi,0.0049697007072611234
materi,0.004899831244592264
bought son,0.004688021008149413
could,0.004520731330571442
develop,0.004412465946254114
without,0.004345520772945564
seem,0.004229667210488108
wide,0.004202654894621388
stori well,0.004118336263957553
iti,0.004045064519496247
recommend anyon,0.004040807888636828
howev,0.003993803024002298
noth,0.003989241254094337
actual,0.0039564702465229975
help,0.003858824935590397
qualiti good,0.003708976394330088
admit,0.0036607552260129322
less,0.003656006664348877
back,0.003588810589877735
come small,0.003494483386001622
sturdi,0.0033959583986812574
day,0.003367509699981996
everi,0.003306575665048114
problem come,0.0032394063771169833
bought replac,0.003224186102938769
got,0.00320814985579066
need,0.0032055288471525
mani,0.0031883822152994705
problem kind,0.003180740602910026
son love,0.0031513364775864546
fan,0.003068332114866158
someth,0.0030613488943621054
materi good,0.0030567058371184256
piec,0.0030253162249611358
come,0.003013820389675342
well told,0.002960301709313929
nice,0.0027532914445797963
kind hard,0.0027241107132964766
qualiti,0.0026839887415514457
dont,0.0026601507257451073
never,0.0026536456282285985
well written,0.00248382730124891
make,0.002477385797777371
act,0.0024727110960253607
would definit,0.0024695630311539134
son,0.002431749960138965
isnt,0.0024209145907199935
friend,0.002413902892921156
far,0.0023912699480213664
would,0.0023818005302667627
quit,0.0023297606402366737
onei,0.002315382777632771
realli,0.00229002363014068
keep,0.00228226624323967
sinc,0.002206465426656593
problem realli,0.002196844163774569
told,0.0021959231356771473
also like,0.002177619436179332
huge fan,0.0021621962272794356
wont,0.002143692975781921
stori,0.0021316104723112044
like,0.00212144404438213
almost,0.0020997402505687694
easili,0.0020938060899762887
end,0.0020546462771018287
small dog,0.002049589715947313
alway,0.0019799787978361334
one,0.0019589478926196704
keep next,0.001944742155455985
yet,0.0019335843682635307
get,0.0019231952282773499
movi,0.0019220376829201396
size,0.0019215798261527867
lot,0.0018891367189550591
give,0.0018871709915414207
read book,0.0018803142121202846
highli recommend,0.0018418373182432042
fact,0.00183882662617859
gave star,0.0018185128736747922
life,0.0018085056129966848
love also,0.0017671823107587997
amazon,0.001735160083322561
son christma,0.001665043233631735
took,0.001662645836536202
product great,0.0016536794792915163
complet,0.0016520360893557498
better,0.0016497316008601342
like fact,0.0016340928656367556
small screw,0.0016326640626921974
might,0.0016298395739502136
quickli,0.0016044277773924992
anyth,0.001598032625116169
well,0.0015784129649333537
everyth,0.0015434146354580422
mayb,0.001524385897634871
love fact,0.0015168747158081414
recommend book,0.0014820934722838614
forward read,0.0014793467916565492
anoth,0.0014467916484887902
book,0.0014460827505207757
right,0.0014322937425348204
work,0.0014178309648714442
reason,0.0013763412179812892
look forward,0.0013601327699613289
instead,0.001359731046308735
although,0.0013400641913066738
time,0.001308801766909936
part also,0.0012878185053254354
im sure,0.0012553181698750455
sometim,0.0012240022087297961
love way,0.0012129259000555948
recommend iti,0.0012126808474359518
new,0.0012080430600233756
use,0.001206370187755525
read next,0.0012030813951485824
fit perfectli,0.001186704389323035
enjoy book,0.0011856743005001593
black,0.001174018751210109
see,0.001165547296140094
us,0.0011633245300465486
stori charact,0.0011575030846595724
enjoy,0.0011390588428230536
coupl year,0.0011307034615720035
good size,0.0011245413586459091
side,0.0011121263773268934
definit recommend,0.0010938806361827638
solid,0.0010917967141127153
know,0.001088580171165841
piec sturdi,0.0010867964439396835
three,0.0010715271087843716
buy,0.001052850801782311
went,0.0010526985002909622
part,0.0010448756995110856
read,0.0010359399435635717
show,0.001012774202396642
one bought,0.0009932734867469858
plu,0.000987699879816463
may,0.000982898932674467
etc,0.0009775124727931374
home,0.0009755937222212644
im,0.0009723852028624422
highli,0.0009684017422104725
away,0.000965509778056168
want,0.0009633235533337489
love look,0.0009612225961192337
author,0.0009570339269006233
let,0.0009558571143190582
hard put,0.0009521633108745037
next,0.0009495822424543267
easi,0.0009445145769795306
itveri,0.0009397581176118715
anyon look,0.0009357242769441569
read charact,0.0009326665930085364
run,0.0008981323493499011
other,0.000895696784684183
product,0.0008934551696635228
pull,0.0008840289674663726
minut,0.0008799275585444869
final,0.0008771899945804008
great movi,0.000873783531036999
price,0.0008697289182967012
leav,0.0008693404023477633
least,0.0008689582096738467
written,0.0008680631645369649
look,0.0008641418751895069
novel,0.0008629975062109757
develop stori,0.0008567129995379685
thank,0.0008362451737428427
made,0.0008359717074025492
wide foot,0.0008351793628715609
charact stori,0.0008161554427110701
love charact,0.0008088770408433224
hand,0.0008055276357684707
stori good,0.0008051697330142517
love love,0.0008005155359952073
definit,0.0007915632875715997
long time,0.0007840560744972324
found,0.0007810684872223385
water,0.0007782203612309446
materi soft,0.0007756903433458979
replac,0.0007751267509169894
super,0.0007669563473182275
bit small,0.0007610863989672609
find,0.0007502850217613652
go,0.0007472458277016449
left,0.0007470801286225011
stori told,0.0007329367999768541
forward,0.0007311622259939258
high,0.0007310724366722288
love color,0.0007293625895104097
that,0.0007236251321284415
first one,0.0007183262470361191
play,0.0007144382718238999
next coupl,0.000712023617387044
year,0.0007103808211860477
pick,0.0007078904359530521
book anyon,0.0007062518944748796
tri,0.0007059745585583068
think,0.0006967215029355959
lot fun,0.0006867907514206441
stand,0.0006865544757039949
pleas,0.0006747658627714637
save,0.0006620863802576709
dog,0.0006607409150082746
screw driver,0.0006538661958160299
cheap,0.0006504661002580279
wish,0.0006499672572739701
purchas,0.0006464287382087968
add,0.0006461078687305297
compar,0.0006408631819345169
came,0.0006381817771660622
overal,0.0006260984968921954
big fan,0.000624777650200477
wonder,0.0006239720717067486
first,0.0006239518940500056
happi purchas,0.000623763991096976
good movi,0.0006236294349133523
replac broken,0.0006147788641705971
didnt,0.0006086433105815159
ive,0.0006060263383262011
page,0.000605519744065565
fast,0.0006020860267936811
book seri,0.000592700781630336
tr,0.0005888841397666214
interest,0.0005886816712794515
feel,0.000581813189972559
wouldnt,0.0005810988751301046
turn,0.0005788755706100643
realli enjoy,0.0005762782919066297
realiz,0.0005757998747892525
two,0.0005753692406698234
old,0.0005753023324953701
walk,0.0005741229333437635
work great,0.000570540344297879
dog love,0.0005664592803513433
provid,0.0005626614953170065
cours,0.0005605116846329625
cant,0.0005602233140770669
pretti,0.0005600050849758839
usual,0.0005491303060159452
act good,0.0005439941504783456
due,0.0005394297281076779
book good,0.0005365104756597248
enjoy charact,0.0005357762201698602
onei bought,0.0005355825024709119
start,0.0005350113074620808
nice addit,0.0005270754765344614
fit,0.0005250500612342173
someon,0.0005248411174916002
way,0.0005221784271967426
enough,0.000518423742797011
saw,0.0005171525043936098
along,0.0005145821246709358
bright,0.0005138536372633212
order,0.000512723558698515
movi good,0.0005120450404405687
say,0.000511065435839888
still,0.0005087139769751755
perfect,0.0005026252496220717
booki,0.0005025115876882485
set,0.0005009843154973203
bad,0.0005007056142070973
pair,0.0005003255722184148
thought,0.0004999066068005819
larg one,0.0004983208401965955
thing wish,0.0004977927249020952
drop,0.0004966446981373694
good valu,0.000495231509373988
addit,0.0004939938606309058
great addit,0.0004917648312619712
daughter love,0.0004917315462761833
thing would,0.0004914803258726347
put,0.0004879672082014025
hope,0.00048618103203867767
long,0.0004819307217785767
doesnt,0.0004814705473335918
well made,0.0004810490987992719
good stori,0.0004745900923329079
seri,0.00047197899183239764
great price,0.00047108432103584903
good enough,0.00047096017568790187
first time,0.0004705565864523494
book last,0.00047033691015833815
take,0.000468858232506576
thing,0.00045358031956537544
mean,0.00045352073665180245
wide width,0.00044208797506867925
book author,0.0004364460483786301
color,0.0004340992048858497
daughter,0.00043264867004969004
especi,0.00042493116838566574
best,0.0004241884961537688
definit buy,0.00041787582761281986
also use,0.00041666544116922765
size perfect,0.00041607577365590666
insid,0.00041007754482426015
ever,0.00040766654131158637
fun,0.00040720313180601085
thin,0.0004048046116456893
hard,0.0003965318416617681
alreadi,0.0003957947732011747
hold,0.00039530038725440824
sure,0.0003946352616278195
point,0.0003917428760639929
said,0.00039112200433232485
would highli,0.0003896033344420373
cut,0.0003879817262741675
big,0.00038734160122337396
return,0.00038427801289601563
star,0.00038401561611467287
book charact,0.0003833044373608105
driver,0.0003797407046284952
wasnt,0.0003785288473191626
